gender,age,zip,category,amt
0,30,79842,6,20.02
0,71,75858,2,50.89
0,37,98238,6,63.78
1,55,35764,13,3.7
0,30,12419,0,18.39
0,33,28654,11,340.95
0,84,25832,12,923.96
1,49,70531,0,81.09
0,37,75662,6,63.03
0,31,84002,0,140.66
0,34,75490,7,46.78
1,77,30756,2,65.39
0,50,76665,10,3.38
0,67,17058,12,9.75
0,36,94558,13,4.09
1,30,33844,9,4.38
0,49,22810,4,120.31
0,67,64630,6,10.04
0,49,12037,12,351.59
0,33,64114,0,94.56
1,42,95827,1,21.51
0,39,99323,1,27.88
0,30,79842,10,20.92
0,21,15010,0,32.32
0,44,23850,2,47.58
0,66,79548,12,52.64
0,91,58531,8,798.97
1,49,12460,10,74.2
1,23,35131,2,57.85
1,32,87313,6,110.61
0,30,12419,8,1.9
0,63,43330,4,138.32
0,36,19007,11,3.8
0,38,44412,8,35.55
0,42,66018,7,13.23
1,22,99033,11,1088.07
1,28,92267,13,465.31
0,30,78584,10,25.98
0,49,64686,6,231.12
1,72,66070,9,70.78
0,27,13304,7,141.25
1,42,45808,4,107.19
0,45,76578,9,20.06
0,54,78113,4,325.9
1,51,47032,6,13.84
1,31,42701,5,35.13
0,33,64114,6,114.44
1,46,1545,10,120.95
1,39,22719,4,111.69
0,24,29438,10,2.24
1,77,45860,7,10.96
0,32,44233,7,138.71
1,31,84532,2,68.63
0,27,13304,5,16.59
0,29,60432,1,24.63
1,55,83643,5,8.97
0,69,73754,12,6.28
0,36,39073,4,195.66
0,48,61454,11,8.46
1,80,70062,9,7.11
0,32,92561,7,40.77
0,33,64114,5,20.63
0,63,36009,6,18.32
0,38,77026,11,5.84
0,46,53801,6,8.44
1,24,17051,4,279.83
0,36,71854,12,36.0
1,20,63021,3,25.15
0,75,13342,11,4.41
1,20,55606,9,184.37
0,41,8014,1,39.73
0,54,96103,4,124.37
0,42,33811,4,187.23
1,66,49632,4,323.61
1,59,6444,9,8.65
1,48,16314,9,2.09
0,17,60958,4,47.2
1,68,11769,7,154.06
1,57,44307,6,7.73
0,31,13755,10,107.15
0,51,12092,1,48.76
1,79,24983,1,11.79
1,48,70056,0,1.87
1,62,92128,2,79.1
1,43,53061,11,4.09
0,22,46346,1,10.53
1,26,49440,4,289.89
0,86,7711,8,73.81
0,20,38677,8,2.93
0,60,90403,4,72.87
0,36,21872,6,167.67
1,35,60091,8,7.71
0,35,20036,6,30.05
0,39,69165,10,14.67
1,60,62888,11,4.36
0,35,72583,0,18.49
